Name,Common Names,Scientific Name,Family,Toxicity,Toxic Principles,Clinical Signs,URL,Image URL
"Angelica Tree","","Aralia spinosa","Araliaceae","Dogs; Cats","Araliin","Skin and oral irritation, hypersalivation, vomiting, diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/angelica-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aralia_spinosa_angelica_tree-300x200.jpg?itok=Z0ZZ_XCY"
"Apple","","Malus sylvestrus","Rosaceae","Dogs; Cats","Cyanogenic glycosides","Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/apple","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apple-r.jpg?itok=cWqaf0_K"
"Apricot","","Prunus armeniaca","Rosaceae","Dogs; Cats","Cyanogenic glycosides found in some species","Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/apricot","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apricot-r.jpg?itok=sJziqNKv"
"Arum","","Arum maculatum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/arum","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=206UUxCJ"
"Arrow-Head Vine","","Syngonium podophyllum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/arrow-head-vine","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arrow-head-vine-r.jpg?itok=GoEmkIO6"
"Arum Lily","","Zantedeschia aethiopica","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/arum-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=UAK_hrAS"
"Asparagus Fern","","Asparagus densiflorus cv sprengeri","Liliaceae","Dogs; Cats","","Allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea).","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/asparagus-fern","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/asparagus-fern-r.jpg?itok=YNshxWGZ"
"Australian Ivy Palm","","Brassaia actinophylla","Araliaceae","Dogs; Cats","Terpenoids, saponins, insoluble oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-ivy-palm","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/brassaia_actinophylla_australian_ivy_palm-300x200.jpg?itok=vysign-d"
"Australian Nut","","Macadamia integrifolia","Proteaceae","Dogs","Unknown","Depression, hyperthermia, weakness, muscular stiffness, vomiting, tremors, increased heartrate. Only reported in dogs at this time.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/australian-nut","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/macadamia-nut-r.jpg?itok=QOK2gsnl"
"Autumn Crocus","","Colchicum autumnale","Liliaceae","Dogs; Cats","Colchicine and other alkaloids","Bloody vomiting, diarrhea, shock, multi-organ damage, bone marrow suppression","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/autumn-crocus","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/autumn-crocus.jpg?itok=WZtvIpMa"
"Azalea","","Rhododendron spp","Ericaceae","Dogs; Cats","Grayantoxin","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/azalea","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/azalea-r.jpg?itok=GfsHla4t"
"Baby Doll Ti Plant","","Cordyline terminalis","Agavaceae","Dogs; Cats","Saponins","Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/baby-doll-ti-plant","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/baby-doll-ti-plant-r.jpg?itok=XbtI6njI"
"Barbados Aloe","","Aloe barbadensis","Aloaceae","Dogs; Cats","Saponins, anthraquinones","Vomiting (not horses), lethargy, diarrhea. The gel is considered edible.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-aloe","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/barbados-aloe-r.jpg?itok=nyx929vz"
"Barbados Pride","","Caesalpinia pulcherrima","","Dogs; Cats","GI Irritants, Tannins.","Vomiting and diarrhea.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-pride","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/peacock-flower-r.jpg?itok=6jJnhTxy"
"Barbados Lily","","Hippeastrum spp.","Amaryllidaceae","Dogs; Cats","Lycorine and other alkaloids","Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hippeastrum_spp_barbados_lily-300x200.jpg?itok=wHaTdB95"
"Barbados Pride 2","","Poinciana gilliesii","Leguminosae","Dogs; Cats","GI irritants","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-pride-2","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bird-of-paradise-r.jpg?itok=mcIUHilP"
"Bay Laurel","","Laurus nobilis","Lauraceae","Dogs; Cats","Eugenol, and other essential oils","Vomiting and diarrhea, Large ingestion of whole leaves can cause obstruction","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bay-laurel","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bay-leaf.jpg?itok=3tA9IrzH"
"Begonia","","Begonia spp.","Begoniaceae","Dogs; Cats","Soluble calcium oxalates","Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic part is underground.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/begonia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/begonia-r.jpg?itok=JYOkAKBU"
"Bead Tree","","Melia azedarach","Meliaceae","Dogs; Cats","Tetranortriterpenes (meliatoxins)","Diarrhea, vomiting, salivation, depression, weakness, and seizures. Ripe fruit (berries) most toxic but also bark, leaves, and flowers.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bead-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bead-tree-r.jpg?itok=fcSfmLRT"
"Bird of Paradise","","Caesalpinia gilliesii","Leguminosae","Dogs; Cats","possibly hydrocyanic acid","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bird-paradise","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/toxic-non-toxic-plants_bird-of-paradise.jpg?itok=R3qu-WME"
"Bergamot Orange","","Citrus Aurantium","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential photosensitivity (dermatitis)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bergamot-orange","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/citrus_aurantium_bergamont_orange-300x200.jpg?itok=GyinGUao"
"Bird of Paradise Flower","","Strelitzia reginae","Strelitziaceae","Dogs; Cats","GI irritants","Mild nausea, vomiting, drowsiness; caused mainly by fruit and seeds","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bird-paradise-flower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/birds-tongue-flower-r.jpg?itok=J8MBQ9-3"
"Bird of Paradise 2","","Poinciana gilliesii","Leguminosae","Dogs; Cats","GI irritants","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bird-paradise-2","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/poinciana-r.jpg?itok=63gtk7vi"
"Bishop’s Weed","","Ammi majus","Apiaceae","Dogs; Cats","Insoluble calcium oxalates","Photosensitization (sunburn, dermatitis)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bishops-weed","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/greater-ammi-r.jpg?itok=Fu5dhOej"
"Bird's Tongue Flower","","Strelitzia reginae","Strelitziaceae","Dogs; Cats","","Mild nausea, vomiting, drowsiness; caused mainly by fruit and seeds. Should not be confused with Caesalpinia or Poinciana gilliesii, which is also known as Bird of Paradise and is more toxic.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/birds-tongue-flower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/birds-tongue-flower-r.jpg?itok=J8MBQ9-3"
"Bitter Root","","Apocynum androsaemifolium","Apocynaceae","Dogs; Cats","Cardenolides","Diarrhea (possibly with blood), slow heart rate, weakness","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bitter-root","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/apocynum_androsaemifolium_bitter_root-300x200.jpg?itok=S3nDKp11"
"Black Calla","","Arum palestinum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-calla","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/black-calla-r.jpg?itok=Shj75f-c"
"Black Cherry","","Prunus serotina","Rosaceae","Dogs; Cats","Cyanogenic glycosides found in some species","Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-cherry","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cherry-r.jpg?itok=9_k_I2RW"
"Black Laurel","","Leucothoe spp.","Ericaceae","Dogs; Cats","Grayanotoxins","Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-laurel","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dog-hobble-r.jpg?itok=daazEmGw"
"Black Walnut","","Juglans nigra","Juglandaceae","Dogs","Unknown","Dogs: moldy nuts/hulls can cause tremors and seizures, ingestion of shavings can cause incoordination; Horses: laminitis, colic","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-walnut","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/black-walnut-2-r.jpg?itok=G5y-KBaY"
"Black Nightshade","","Solanum nigrum","Solanaceae","Dogs; Cats","Solanine, saponins, atropine like substances","Hypersalivation, inappetence, severe gastrointestinal upset, diarrhea, drowsiness, CNS depression, confusion, behavioral change, weakness, dilated pupils, slow heart rate.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-nightshade","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/black_nightshade_solanum_nigrum-300x200.jpg?itok=3BIBJhXH"
"Bobbins","","Arum maculatum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bobbins","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=206UUxCJ"
"Bog Laurel","","Kalmia poliifolia","Ericaceae","Dogs; Cats","Grayanotoxin","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bog-laurel","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bog-laurel-r.jpg?itok=i1R2lJbt"
"Boxwood","","Buxus spp.","Buxaceae","Dogs; Cats","Alkaloids","Dogs and cats: vomiting, diarrhea; Horses: colic, diarrhea, respiratory failure, seizures","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/boxwood","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/buxus_boxwood-300x200.jpg?itok=Qr2HGKhj"
"Borage","","Borage officinalis","Boraginceae","Dogs; Cats","Tannins, mucilage","Vomiting, diarrhea, dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/borage","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/borage.jpg?itok=W7elJbHn"
"Branching Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/branching-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-ivy-r.jpg?itok=70BsIbRy"
"Brazilwood","","Poinciana gilliesii","Leguminosae","Dogs; Cats","GI irritants","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/brazilwood","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/poinciana-r.jpg?itok=63gtk7vi"
"Bread and Butter Plant","","Coleus ampoinicus","Labiatae","Dogs; Cats","Essential Oils","Vomiting, diarrhea, depression, anorexia, occasionally bloody diarrhea or vomiting","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bread-and-butter-plant","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/coleus_amboinicus_bread_and_butter_plant-300x200.jpg?itok=vPcCTrOX"
"Brunfelsia","","Brunfelsia species","Solanaceae","Dogs; Cats","Brunfelsamidine","Tremors, seizures (for several days), diarrhea, vomiting, hypersalivation, lethargy, incoordination, coughing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/brunfelsia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/yesterday-today-tomorrow-r.jpg?itok=r7plL0Ro"
"Buckeye","","Aesculus spp","Hippocastanaceae","Dogs; Cats","Aesculin (a glycosidic saponin), other saponins","Severe vomiting and diarrhea, depression or excitement, dilated pupils, coma, convulsions, wobbly","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buckeye","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/buckeye-r.jpg?itok=sKdOBVAU"
"Buckwheat","","Fagopyrum spp.","Polygonaceae","Dogs; Cats","Fagopyrin","Photosensitization (sunburn, dermatitis)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buckwheat","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/buckwheat-r.jpg?itok=arM-aCcF"
"Burning Bush","","Euonymus atropurpurea","Celastraceae","Dogs; Cats","Alkaloids, Cardenolides","Vomiting, diarrhea, abdominal pain, weakness. Heart rhythm abnormalities with large doses.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/burning-bush","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/burning-bush-1-r.jpg?itok=Xom-RenT"
"Buddhist Pine","","Podocarpus macrophylla","Podocarpaceae","Dogs; Cats","Unknown. Do not confuse with yews of the genus Taxus.","Vomiting (colic in horses), diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buddhist-pine","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/podocarpus_macrophylla_buddhist_pine-300x200.jpg?itok=LF3dWuLo"
"Buttercup","","Ranunculus spp.","Ranunculaceae","Dogs; Cats","Protoanemonin (an irritant)","Vomiting, diarrhea, depression, anorexia, hypersalivation, oral ulcers and wobbly gait.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buttercup","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/buttercup-r.jpg?itok=O28VHLgE"
"Butterfly Iris","","Iris spuria","Iridaceae","Dogs; Cats","Pentacylic terpenoids (zeorin, missourin and missouriensin)","Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in rhizomes.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/butterfly-iris","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/butterfly-iris.jpg?itok=Q2SDYbk1"
"Calamondin Orange","","Citrus mitis","Rutaceae","Dogs; Cats","Essential oils and psoralens","Vomiting, diarrhea, depression; potential photosensitivity (dermatitis)","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calamondin-orange","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/calamondin-orange-r.jpg?itok=cBVAvPnX"
"Caladium","","Caladium hortulanum","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caladium","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/elephant-ears-r.jpg?itok=PfV7_OWk"
"California Ivy","","Hedera helix","Araliaceae","Dogs; Cats","Triterpenoid saponins (hederagenin)","Vomiting, abdominal pain, hypersalivation, diarrhea. Foliage is more toxic than berries","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/california-ivy","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-ivy-r.jpg?itok=70BsIbRy"
"Calla Lily","","Zantedeschia aethiopica","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/calla-lily","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-lily-r.jpg?itok=UAK_hrAS"
"Cape Jasmine","","Gardenia jasminoides","Rubiaceae","Dogs; Cats","Genioposide, Gardenoside","Mild vomiting and/or diarrhea, hives.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cape-jasmine","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cape-jasmine-r.jpg?itok=hpPLF-Xc"
"Caraway","","Carum carvi","Umbelliferae","Dogs; Cats","oils, carvone and limonene","Mild Vomiting and diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/caraway","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/caraway.jpg?itok=Z5sbf-Vt"
"Cardboard Palm","","Zamia spp.","Cycadaceae","Dogs; Cats","Cycasin, B-methylamino-l-alanine, unidentified neurotoxin (cattle)","Vomiting (may be bloody), dark stools, jaundice, increased thirst, bloody diarrhea, bruising, liver failure, death. 1-2 seeds can be fatal.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cardboard-palm","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cardboard-palm-r.jpg?itok=TGixhHxv"
"Cardboard Cycad","","Zamia furfuracea","Cycadaceae","Dogs; Cats","Cycasin, B-methylamino-l-alanine, unidentified neurotoxin (cattle)","Vomiting (may be bloody), dark stools, jaundice, increased thirst, bloody diarrhea, bruising, liver failure, death. 1-2 seeds can be fatal.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cardboard-cycad","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cardboard-palm-r.jpg?itok=TGixhHxv"
"Cardinal Flower","","Lobelia cardinalis","Campanulaceae","Dogs; Cats","Lobeline","Depression, diarrhea, vomiting, excessive salivation, abdominal pain, heart rhythm disturbances.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cardinal-flower","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cardinal-flower.jpg?itok=2AoQewvX"
"Carnation","","Dianthus caryophyllus","Caryophyllaceae","Dogs; Cats","Unknown irritant","Mild gastrointestinal signs, mild dermatitis","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carnation","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/carnation-r.jpg?itok=o9oz2fXd"
"Ceriman","","Monstera deliciosa","Araceae","Dogs; Cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ceriman","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ceriman-cutleaf-philodendron-r.jpg?itok=cR0-yc-P"
